comment;rating;rating1
Shop giao thiếu hàng . gọi điện thoại thì không nghe. Bực ghê 	;1;1
Vải áo mỏng,quần quá bình thường	;2;3
Hàng nhận không giống hình.chất không được mát lắm nhưng giá thế là hợp lý rồi.	;4;4
Hàng y hình, màu rất đẹp 	;4;5
Chất vải cũng mềm	;4;5
Quần thì chất bún, mỏng nhẹ mát. Áo thì có vẻ chất nóng hơn, bộ mình mua nó còn may lỗi	;4;4
Chất ok nhưng gửi chưa đúng mẫu mình chọn. Giá rẻ nên thôi cũng ok. 	;4;4
Giao hàng siêu nhanh, nhìn ảnh mình nghĩ là hình nổi, không nghĩ là hình in như này, màu cũng choé hơn so với ảnh	;3;3
Giao hàng nhanh chóng, quần áo đẹp nhưng mà giặt ra màu 	;4;4
sản phẩm không giống trong hình. Quần bị vài vết bẩn. 	;4;3
chất lượng vải được	;4;5
sản phẩm mặc hơi chật	;4;4
Tốt;5;5
Quần không đẹp như hình. 	;3;3
Cá nhân mình không thích giun quần cho lắm 	;4;3
Vì giun này hay xoay tròn mặc trẻ khó chịu 	;3;3
Chất vải thun mềm, hợp với giá tiền	;4;4
Hàng không giống ảnh	;3;3
Màu không giông ảnh, chất vải phù hợp giá tiền 	;4;4
Màu sắc đẹp. Nhưng tay thun, bé mặc bị chật 	;4;4
Hàng giống mô tả , chất liệu tương đối mềm 	;4;4
Chất vải ok. Màu hơi đậm so với hình	;4;4
Áo thì đúng mà quần thì lại màu Hồng, không giống mẫu	;3;3
Cũng được. Màu sắc ko giống hình mẫu	;4;4
Chất lượng rất rất tốt vải mặc mùa hè rất mát;4;5
Chất liệu vải của quần không giống trên hình. Tạm được,tiền nào của nấy 	;4;4
giao nhầm 1 bộ, nhưng chất lượng tốt;4;4
Khá thất vọng. 	;2;2
Tương xứng với giá tiền.	;4;4
2 bộ màu hồng nhưng 1 quần hồng 1 quần tím. Quần đấy mặc với cả 2 cái áo đều thấy lệch 	;3;3
Chất vải tạm đc so với giá tiền. Màu vàng phai màu	;3;3
Chất vải tốt hợp với giá tiền	;4;4
Đẹp. 	;5;5
Màu đậm hơn trong ảnh, chưa mặc thử nên không biết có vừa không. Phù hợp giá tiền	;5;4
Áo quần đẹp ;5;5
Chất vải mát mặc thích hợp trong mùa hè.;5;5
Chất lượng phù hợp với giá tiền. chất vải tạm được	;5;4
Shop giao hàng nhanh, đóng gói cẩn thận, giao đúng màu đúng size. Chất liệu vải ổn so với giá;5;4
Giao hàng chậm, hàng đóng gói cẩn thận. Giao đúng mẫu nhưng hàng có mùi hôi khó chịu.	;5;3
Trên ảnh thì đẹp ở ngoài chất vải hơi nóng mặc không thấm mồ hôi, shop giao hàng nhah đóng gói cẩn thận	;5;4
Chất hơi xấu 	;2;2
Màu không giống như hình đăng. 	;2;3
Đường may cẩu thả, áo không giống hình	;2;2
Màu quá khác xa hình	;2;2
9-12kg mà thấy hơi nhỏ	;3;3
Tạm đc thôi,giá cao so với chất lượng 	;3;3
Hàng nhận không giống hình.chất không được mát lắm nhưng giá thế là hợp lý rồi.	;4;4
Áo thì đẹp,nhưng quần hơi xấu	;4;3
Bộ vàng hơi khác so với hình 	;4;3
Dễ thương	;4;5
Tạm được	;4;4
Sản phẩm không giống hình;2;2
Bộ tim vàng ở ngoài màu khác so, phù hợp với giá tiền	;4;4
Áo rất đẹp, giá tiền lại rẻ, chúc shop mua may bán đắt nhé.;5;5
Màu ở ngoài đậm hơn trong ảnh, vải cũng mềm mại . So với giá thì rẻ so với chợ ạ. Đóng gói cẩn thận. Giao hàng khá nhanh	;5;5
Sản phẩm đẹp, chất liệu mát, phù hợp với giá tiền, giao hàng nhanh, shop phục vụ nhanh.;5;5
Chất vải mát mặc thích hợp trong mùa hè;5;5
Áo tim vàng đẹp.chất vải tạm được .giao hàng nhanh chóng.giá rẻ.	;5;4
Giao hàng nhanh hàng giống hình ảnh vải mềm mịn.;5;5
Được;5;5
Hàng giống hình, đẹp, vải mát, giao hàng nhanh, khá hài lòng.	;5;5
Màu đậm hơn trong ảnh, bé 10kg- 10tháng mặc bị dài rộng nha. Giao hàng siêu nhanh	;5;5
Chất liệu tốt, đồ đẹp lắm.;5;5
Quần áo rất xinh, phù hợp với giá tiền, chọn đúng size cho bé là ok nhé các mẹ.	;5;5
Sản phẩm phù hợp với giá tiền. Chất vải nóng, giao hàng nhanh. Mẫu mã giống hình nhưng chất liệu không đẹp 	;4;3
Em đã nhận được hàng đúng mẫu mẫu vải mềm nói chung là ok.	Có dịp sẽ ủng hộ shop nữa	;5;5
Đồ đẹp lắm, bé mặc ok xinh lắm nha,hè rồi nên mặc bộ này rất mát vải cũng ok lắm nha	;5;5
Shop giao đúng mẫu, giao nhanh. Set 5 bộ in hình hơi xấu nhưng với giá này thì vẫn ok. ;5;4
Shop giao đủ số lượng.đúng màu đúng mẫu.tuy màu tím hơi buồn chút.nhung chất vải mềm mịn.	;5;5
chuẩn bị hàng siêu nhanh, Chất ok nhé, hình trái tim kia không giống mẫu lắm;5;5
Mặc không vừa 	;1;1
vải mỏng 	;1;2
khác hình không nên mua	;1;1
Xấu	;1;1
Chất xấu, mỏng nhão,  không phù hợp với giá tiền	;2;2
Vải mỏng nếu mang nội y màu đen thì sẽ dễ bị thấy , cơ mà tiền nào của nấy thui 	;2;2
Sản phầm không giống hình. nhưng mà form rộng nên ưng.;4;3
Áo bị ố 2 bên tay áo chắc chắn không tẩy được. Form quần nhỏ;3;3
Ai muốn mặc rộng thì cứ XL nhé vì quần form nhỏ lắm ạ	;4;4
Đồ ok lắm;5;5
Sản phẩm xinh 	;5;5
Mình m57 47kg mặc L thấy ok nè ;5;5
Hàng đẹp nha, chất liệu mát, không nhiều chỉ thừa, với giá tiền này thì quá là ưng cái bụng, sẽ ủng hộ shop những lần sau.	;5;5
chất lượng phù hợp giá cả nha , rộng rãi thoải mái. mặc vào mùa hè thì đúng bài luôn nha 	;5;5
sản phẩm phù hợp với giá tiền , chất mặc mát 	;5;5
Áo đẹp nha mọi người. Vải mát lắm nhưng mình đặt size xl rồi vẫn thấy áo hơi ngắn	;5;5
Hàng đẹp;5;5
Chất có vẻ hơi mỏng nhưng ko sao  mặc rất mát	;5;5
Nhiều chỉ thừa, chất cũng tạm được, không biết giặt có phai màu không nên mua về cứ vứt tủ lạnh 2 hôm mới bỏ ra giặt	;5;4
Hàng rất đẹp vải mát	;5;5
Hàng đẹp lắm luôn shop ạ, tuy nhiên vải hơi mỏng nhưng chất rất mát lần sau lại ủng hộ	;5;5
Siêu đẹp luôn nha	;5;5
Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp rất ưng nha	;5;5
Rất ưng	;5;5
Sản phẩm hơi mỏng nhưng với giá tiền như thế thì hợp lí.	;5;4
Ok nhé 	;5;5
Chất mỏng mát . Rất đẹp nên mua nha. Có điều là chỉ thừa chưa cắt hết ạ . Tóm lại là đẹp nên mua ạ mặc thích lắm	;5;5
Hàng rất đẹp tuy nhiên  áo hơi ngắn  shop đóng hàng cẩn thận 	;5;5
Vải hơi mỏng nhưng với giá đấy thì cũng gọi là quá ok rồi ạ 	;5;4
Tuyệt lắm nên mua nha	;5;5
Sản phẩm rất tốt nha mn 	;5;5
Vải rất ok luôn .tớ mua 2 bộ luôn í	;5;5
Vải ổn đẹp	;5;5
Đẹp lắm nha nên mua ạ	;5;5
Chất áo mát 	;5;5
Giá rất oke	;5;5
Form áo xấu, ngắn ơi là ngắn	;2;2
Rộng, nhưng chất đẹp;3;4
áo mặc mát nhưng khá dễ nhăn. mình mới mặc 1 lần đã thấy phần cổ bị dão	;3;3
chất hơi thô	;3;3
Áo rất mỏng, trả lời tin nhắn rất chậm	;2;2
Chỉ thừa nhiều;2;2
chất vải cũng tạm được;3;3
Vải đẹp nhưng áo size xl thì ngắn tay áo cũng ngắn nói chung là tạm ổn với giá	;3;3
Giao nhanh nhưng nhận áo về khá thất vọng vì màu áo không giống trong ảnh;3;3
Tạm được;4;4
không đẹp lắm, vải hơi mỏng 	;3;3
Chuẩn bị hàng hơi lâu, phản hồi tin nhắn cũng chậm.	;3;3
Đọc đánh giá của mọi người thấy bảo áo ngắn nên mìn chọn size xxl nhưng mình mặc siêu rộng, mình cao 1m66 50kg	;4;4
Chất vải khá đẹp, không dày cũng không mỏng nhưng có thể nhìn xuyên qua.	;3;4
Sản phẩm ok.	;4;5
Áo đen và vàng vải ổn, đường may chắc. Áo trắng vải mỏng, đường may sơ sài, dư chỉ nhiều	;4;4
Giao màu nhạt hơn so với ảnh 	;4;4
Vải tạm được	;4;4
Áo không đẹp bằng lần trước, vải cũng có vẻ nóng hơn	;3;3
Vải có vẻ nóng và dễ giãn , đúng tiền 	;4;3
M65 55kg mặc vừa nha,vải nóng, mình thấy chiếc này với mấy chiếc có hình giá 165 ấy vải gần như nhau luôn	;4;4
áo cũng ok, có 1 chút chỉ thừa	;4;4
Vải mát nhưng khá mỏng	;4;4
áo ổn	;4;4
Vải ổn, độ dài ưng, cổ áo hơi bé so với mong đợi. 	;4;4
Áo nóng	;3;3
Áo tím bị vệt mờ chỗ nếp gấp	;3;3
Chất áo được, viền cổ áo nếu thiết kế nhỏ hơn thì áo sẽ đẹp hơn	;4;4
Phai màu lắm 	;3;3
Áo dày dặn thấm hút mồ hôi chọn size to nhất nhưng theo mình chỉ vừa người 	;4;5
áo màu xinh lắm ạ, vải dày dặn nên có lẽ sẽ hơi nóng 1 chút, shop chu đáo nhắn tin báo hàng cẩn thận tỉ mỉ, áo kiểu dáng nhỏ nên đặt size XXL là không quá to, các bạn tầm 55-60 đặt là oki ổn nhé	;5;5
áo hồng này màu ở ngoài xinh hơn mà chụp lên hình không đúng màu;5;5
Áo siêu đẹp luôn nhé, màu y hình chất mát	;5;5
Lần đầu mua áo trên mạng mà được này siêu thích luôn ạ 	;5;5
Tốt	;5;5
Áo vải đẹp, giá rẻ. Giao sai màu 	;4;5
áo mát lắm nha 	;5;5
Ship hàng nhanh, áo đẹo lắm ạ, sờ nhẹ mà mỏng mát lắm nha, không hề bị mỏng dính đâu nhé, màu tím ở ngoài siêu xinh luôn	;5;5
áo dày dặn mặc vẫn khá là mát. Giao hàng nhanh. Áo tím chất mát hơn áo hồng 	;5;5
áo chất liệu rất đẹp mà giá lại phải chăng	;5;5
sẽ tiếp tục ủng hộ shop ;5;5
 Áo giống y hình, vải cotton dày dặn. Mình cao 1m57 nặng 50kg đặt size XL hơi dài và rộng xíu. Nhưng nói chung là đẹp và đáng tiền	;5;5
Áo bị dãn;5;4
Shop đóng gói cẩn thận, hàng giao nhanh. Áo đẹp form rộng mà giá quá hợp lý luôn	;5;5
vải mát , màu xinh đúng như ảnh , mua lúc sale nên rất ổn cho 1 chiếc áo thun	;5;5
Chất lượng sản phẩm tốt. Vải áo dày, lên form đẹp. Thời gian giao hàng nhanh	;5;5
Áo đẹp mặc thoải mái không có ảnh chụp áo nên lấy tạm ảnh này ạ	;5;5
Hàng đẹp nha	;5;5
Mình đặt 2 cái. Cái tím có vải mỏng và mát hơn. Giao hàng đủ số lượng	;5;5
Form và vải ok nha, cũng không có gì để chê cả, shop khá đáng yêu	;5;5
Áo đẹp, màu đẹp, xinh, mua đến cái thứ 7 ở shop rồi, shipper thân thiện	;5;5
Áo đẹp lắm nha mọi người mình thích chất của áo thun trơn hơn nè 	;5;5
Áo chất lượng đỉnh của chóp nha, dài vừa phải, chất tốt không hề nóng. Mình đã mua lần thứ 2 và chắc chắn sẽ còn ủng hộ tiếp. Mãi yêu shop ạ	;5;5
Áo đẹp , phù hợp giá tiền 	;5;5
Đẹp	;5;5
Áo đẹp;5;5
lần sau sẽ tiếp tục ủng hộ shop;5;5
Áo giao đúng màu, vải ok. 	;5;5
Áo xinh, xịn, mịn giá ok 	;5;5
Giao hàng nhanh, đóng gói đẹp về chất lượng thì thấy màu tím ok hơn , chứ màu đen hơi dày cổ , xứng giá tiền 	;5;5
áo xinh mà mỗi tội người tui lùn mặc trông như cái váy	;5;5
Xịn lắm luôn	;5;5
ổn	;5;4
Với giá tiền này thì chất lượng quá ok rồi. Giao hàng nhanh shop tư vấn rất nhiệt tình nói chung sẽ ủng hộ shop nhiều lần nữa.	;5;5
sản phẩm tốt	;5;5
Áo đẹp lắm;5;5
Áo chất siêu mát, vải đẹp,from đẹp, shop đánh iu tuy nhiên hơi nhiều bụi vải nên lưu ý giặt trước khi mặc	;5;5
Chất vảy dày, tốt;5;5
giao hàng nhanh . áo ổn và giá cũng ok nên khá ưng . sẽ mua tiếp nhé	;5;5
Đẹp chất mát nhưng hơi mỏng màu xinh form chuẩn	;5;5
đúng đỉnh luôn 	;5;5
rất đáng tiền nên mua nha mọi người ơi	;5;5
Giao hàng hơi lâu xíu nhưng bù lại áo rất đẹp nha rất nên mua luôn ! Lại còn siêu rẻ nữa	;5;5
Áo tạm ổn, chất hơi nóng	;4;4
Chất áo rất đẹp, giá rẻ, sẽ mua lại lần nữa 	;5;5
Mua lần 2, vừa đẹp vừa rẻ, chất cũng ổn, vừa giá tiền,mặc nhiều giặt nhiều không biết bị nhão không	;5;5
Chất lượng sản phẩm này tuyệt vời nhất đóng gói sản phẩm này tuyệt vời nhất 	;5;5
Vải ok với giá nhưng màu trắng thì sẽ thấy hằn nội y khá rõ 	;4;4
Chất liệu áo ổn phù hợp với giá tiền, giao hàng nhanh tầm 2 ngày có hàng	;5;5
Áo xinh chất ok so với giá tiền	;5;5
Áo đẹp, chất mát, mặc thích, sẽ mua thêm	;5;5
Áo đẹp lắm nha, áo lần 2 mình mua thì dài hơn lần 1 dù cùng 1 cỡ nhưng nói chung ưng lắm lắm 	;5;5
Áo đẹp ngon bổ rẻ mua đúng lúc sale  giao hàng lâu mag ko hề nha	;5;5
Chất vải ok lắm nha	;5;5
Mặc thích ạ 	;5;5
Áo đẹp, màu tím đậm hơn so với trên hình. Chất vải cũng ổn, mua dịp sale nên giá tốt.	;5;5
Áo xinh, dày dặn, form đẹp, nhưng size xl mà to lắm, ship nhanh nên mua 	;5;5
Ok	;5;5
Áo xinh chất ok, màu hơi khác chút;4;5
Áo đẹp chất vải cotton. Đặt xl mà cổ áo hơi bé :((((((((((((((	;4;4
Màu ở ngoài đậm hơn và đẹp hơn nhiều không hiểu sao lên ảnh màu khác vậy	;5;5
Áo đẹp, size 2xl rồi mà vẫn nhỏ quá	;5;5
Áo đẹp lắm nha  , mùi còn thơm thơm nữa . Dáng lên đẹp . Chất cũng OK luôn nè . Shop nhiệt tình . Giao hàng hơi lâu xíu . Còn lại đều rất tốt	;5;5
Thề xinh lắm luôn chắc chắn mình sẽ mua thêm	;5;5
áo vải mỏng, siêu nhẹ với thoáng mát, rộng rãi thoải mái lắm luôn ạ	;5;5
chất vải ok. không quá dày cũng không quá mỏng. nên mua 	;5;5
Mua 2 chiếc mà chất vải khác nhau, nói chung là chất đẹp;5;5
Rất tuyệt vời ạ	;5;5
Áo dày dặn, thoải mái chất áo không bị xù 	;5;5
Áo đẹp vải rất ok 	;5;5
Áo rách vai, vải nóng , thất vọng !	;1;1
Áo xấu ngắn	;1;1
Chất lượng quá tệ	;2;1
Áo rất đẹp nhưng cổ áo xấu ko thành hình tròn 	;3;3
Áo rất hợp với giá sale, áo không đẹp lắm	;3;3
Áo mỏng quá	;3;3
Áo không được đẹp cho lắm vải mỏng .đường chỉ thừa nhiều	;3;3
Tiền nào của đó nói chung là chịu chi tiền thì chất lượng sẽ khác	;3;3
Tạm ổn, mặc hơi nóng tý	;4;3
Vải hơi thừa chỉ	;4;4
Túi kéo cẩn thận chất lượng áo ok nhưng hơi mỏng 	;4;4
Áo hơi bẩn xíu	;4;4
Khá ưng	;4;4
Vải giá tầm này rất ok 	;4;4
áo khá ok.;4;4
Áo hơi mỏng, đường chỉ mới mua đã tuột	;3;3
Áo đẹp mà vải hơi mỏng ạ.	;4;4
áo hơi mỏng;3;3
Chất hơi nóng	;3;3
hàng khá ok	;4;4
Hơi ngắn so với tưởng tượng. 	;4;4
áo phải gọi là đỉnh luôn nhé  với cái giá này thì không chê vào đâu được. 	;5;5
Giao nhầm size. ; 3;3
Vải hơi mỏng và nóng	;3;3
Với giá vậy mình thấy hợp lí rồi	;5;5
Rất hài lòng về sản phẩm của shop.;5;5
Vải khá mỏng có vẻ nóng nhưng phù hợp với giá tiền rồi ạ,không đòi hỏi gì nhiều với giá đó,ship nhanh,shop cẩn thận bỏ vào túi zip;5;4
Hàng giao nhanh sẽ ủng hộ shop nhiều "	;5;5
Giao hàng khá nhanh. Chất vải tốt. Mỗi tội mình thấy chữ khá dễ bong và mùi rất hôi	;4;4
sản phẩm đẹp lắm nha	;5;5
Shop gói vào túi rất lịch sự	;5;5
Đây là sản phẩm ưng nhất của mình;5;5
Áo tạm ổn. Nói chung cũng ok	;5;4
Sản phẩm tốt, đẹp, đáng mua các bạn nên thử nhé.	;5;5
Áo đẹp phù hợp với giá tiền.	;5;5
Vải đẹp nên mua nha mọi người áo đẹp chất lượng vải cũng tạm ổn.;5;4
Đóng gói sản phẩm chắc chắn, chất lượng phù hợp với giá tiền, giao hàng nhanh	;5;5
giao nhanh, màu đẹp, chất vải khá dày dặn nhưng trời nắng thì có thể mặc hơi nóng. 	;5;4
Thời gian giao hàng nhanh chất lượng sản phẩm phù hợp với giá tiền	;5;5
áo ổn áp , phù hợp với giá của nó 	;5;5
Giao hàng nhanh. Chất cải dày dặn. Nên mua nha 	;5;5
áo bị rách không đáng tiền;1;1									
Áo rách vai, vải nóng , thất vọng !	;1;1															
Áo xấu ngắn;1;1															
Giao thiếu hàng.;1;2																													
Chất lượng quá tệ;2;1															
sản phẩm phù hợp với giá tiền, không thành hình tròn;3;3															
Áo rất hợp với giá sale, áo không đẹp lắm;	3;3															
Áo mỏng quá;2;2						
Áo không được đẹp cho lắm vải mỏng. đường chỉ thừa nhiều;3;3															
áo giống hình, vải hơi mỏng.;4;4															
Tạm ổn, mặc hơi nóng tý;4;4															
Vai hơi thừa chỉ;4;4															
Túi kéo cẩn thận chất lượng áo ok, nhưng hơi mỏng;4;4															
Áo hơi bẩn xíu;4;4															
Khá ưng;4;4																
Vải giá tầm này rất được;4;5															
áo khá ok.. ;4;4															
Áo hơi mỏng, đường chỉ mới mua đã sứt	;3;3														
Áo đẹp mà vải hơi mỏng ạ.	;4;4															
áo ngắn không mặc vừa;1	;2													
Chất hơi nóng;4	;3														
hàng khá ok	;4	;4																											
sản phẩm giao bị bẩn;2;2															
Áo xấu, cổ thì hơi nhỏ, vải mỏng nếu các nữ mặc vô sẽ bị lộ áo trong, giao áo cho mình mà có hẳn hai vết dơ, tư vấn không nhiệt tình.; 1;1										
Hàng giao không giống mẫu. Thái độ nói chuyện phục vụ rất khó chịu;	1;1																			
Giao hàng không đúng mẫu đã đặt chất lượng không tốt;1;1										
vải quá mỏng;1;1										
Giao thiếu hàng. Vải mỏng, thất vọng, không nên mua;1;1										
Vải quá mỏng. quá tệ;1;1										
Không nên mua. ;1;1										
giao sai hàng chán ;2;2										
Vải thô nóng, xấu, cổ áo nhún rất xấu, không đáng để mua rất tệ;1;1										
giao áo bị bẩn, vải xấu, không nên mua;1;1										
Thất vọng về sản phẩm. không giống hình ;1;1										
Chất hàng không đẹp;2;2										
Áo ngắn hơn so với hình, áo bị bẩn và mỏng;2;2										
Chất lượng sản phẩm quá kém, mỏng dính, mặc như mặc túi ni lông xuyên thấu đã thế còn rách lỗ to, nhiều chỗ bị sứt chỉ. Giao hàng chậm. áo ngắn, vải mỏng, không nên mua. ;1;1										
Áo bị dính mực tùm lum	;1;1										
áo ngắn, chất lương không tốt;2;2										
Bị bung chỉ, vải mặc hơi nóng.;2;2										
chất vải giặt bị xù	;2;2										
Form áo nhỏ. không giống hình, vải hơi mỏng,mặc hơi nóng. ;2;2										
Một chiếc rất đẹp. Còn 1 chiếc bị bẩn. Vải hơi mỏng nhưng mặc lên rất vừa form.;3;3	
vải mỏng lét, không ưng được tí nào;	1;1																	
Vải rất mỏng, thất vọng thực sự ;	1		;1								
Vải thô cứng, không nên mua;1	;1						
Áo còn chỉ thừa. Mọi người nên cân nhắc khi mua	;1	;2									
Màu vải kém quá, mặc được đúng 1 lần phai hết cả	;1;2										
Không giống trong ảnh	;1	;3									
Xấu, form nhỏ	;1	;1									
Vải bị nhăn, xấu cực ;1;1																					
Vải  bị rão, dễ nhăn, khuyên mọi người đừng nên mua hàng này.	;1;1										
chất lượng tệ	;1;1										
Áo không đúng kích thước shop quảng cáo	;1;2																			
Vải sờ thì thấy mát. Không quá mỏng nhưng không dày. ;3;3																					
Áo chất lượng cũng phải chăng;3;3										
Màu không giống ảnh;2	;2									
Vải hơi mỏng, gói hàng đẹp	;3;3										
Chất vải tạm được, giao hàng hơi lâu;3;3										
Mình khá thất vọng về áo ;2;2										
Giao sai màu;2				;2					
Áo mỏng 	;2				;3					
Kích thước không giống mô tả	;2;3										
form áo khá đẹp, Chất vải khá được, tuy nhiên giặt bị phai màu;3;3										
Chất đẹp. Form rất rất rộng. ;3	;3									
Chất vải đẹp, giao hàng nhanh	;5;5										
Cũng tạm	;3	;3									
Shop giao đúng mẫu, áo hơi mỏng, mặc mát, co dãn rất tốt	;3;4										
Chất vải xấu, mặc nóng;2;2										
Vải áo mỏng, from áo dài nên lưu ý trước khi mua	;2	;3								
Áo mỏng và dễ nhăn cực ý ;2	;3									
Khá là thất vọng 	;2	;2																		
Áo mỏng. Thất vọng cực. ;1;1										
Chất liệu cũng tạm được, giao sai màu, tạm chấp nhận; 2;2										
áo bị ngắn, hơi thất vọng	;3	;3									
Quần với giá này thì vải ok. ;3	;3									
áo hơi nhăn	;3					;3					
Áo khi mới mở ra thì khá hơi khi mặc thì bị dính vải lên trên người 	;3								;3																					
Áo màu be mỏng quá;3;3										
Chất vải hơi kém	;3;2										
Vải ổn;3				;3						
áo Đẹp;4				;5														
Áo rất dễ bị nhăn	;3	;3									
Áo chất đẹp. ;5			;5							
Kém	;2					;2					
Chất vải và đường may tốt nhưng áo bé hơn so với bảng size nên không ưng lắm	;3					;4																
Áo hơi mỏng;3;3										
Dáng áo đẹp ạ , mỗi tội vải mỏng nhìn rõ áo bên trong	;3				;3																
Áo bị lỗi, chán quá	;3;3																															
Chất vải mát. tuy nhiên cổ áo bị ố vàng;3;3										
Tạm được	;3								;3		
Sản phẩm oke nhưng giao trễ 	;3				;4						
Vải hơi mỏng 	;3	;3																												
áo hơi tệ;3	;3									
Quần có vết hơi dơ. Ổn so với giá	;3			;3																																																	
Chất được, mặc mát, mỗi tội chưa rộng theo ý mình lắm; 4	;4																	
Áo hơi bẩn		;3											;3								
Vải dày, mặc bị nóng, giao hàng nhanh	;4						;3												
Giao hàng khá nhanh, giao đủ hàng, chất hơi nóng. nói chung tạm ổn;4;3										
Áo giống như hình, chất hơi dày, mình đặt áo XXL rồi nhưng áo trông vẫn hơi nhỏ. Giá cả phải chăng, giao hàng nhanh	;4										;4
Vải xịn mát, đường may xấu	;4			;4																
Áo chất thì đẹp lắm rồi hời với giá tiền, bị phai màu;3	;4									
Áo chất khá là mát, giống hình, đường may xấu;3	;4
Đường may rất ẩu;1;1
sản phẩm giao khác hình, mặc lên nhìn rất xấu.;1;1
Giá đắt, mà sản phẩm chất lượng quá kém, không nên mua.;1;1
giao hàng chậm, lúc nhận hàng thì thiếu. Buồn.;1;2
mặc rất nóng, hàng kém chất lượng. ;1;1
áo không giống hình.;	1;2
Sản phẩm tệ, áo quá bé không như mô tả.;	2;2
áo giống hình, nhưng chất vải xấu, mỏng.;	2;2
Áo ngắn, ship lâu, hàng không đẹp; 	1;1
nhắn tin shop khong trả lời, giao hàng lâu;	2;2	
Hàng mới nhận đã rách vài chỗ, shop không cho đổi trả.;	1;1
Vải xấu hàng về chậm. Không nên mua.;	 1;1
áo tay ngắn không như hình.;	1;2
Áo quá ngắn không mặc được, không giống kích thước mô tả.;	1;2
Chất vải nóng , cầm thôi chứ chưa mặc đã thấy rất nóng.;	1;2
thất vọng về sản phẩm.;1;1
Tồi; 1					;1																		
Tạm chấp nhận;4			;4							
phần cổ may ẩu quá, mùi áo rất khó chịu	;3	;3									
form áo cũng tạm	;4						;4				
Áo vải mỏng mặc rất nóng không thấm hút mồ hôi mấy nên cân nhắc khi mua	;3											;3									
Vải áo cũng tốt nhưng cái logo áo may hơi cao, mùi hôi, giao hàng chậm;3	;3									
áo mỏng ;4	;3			
Chất vải mịn	;4	;5	
Chất lượng áo quá kém. Áo trắng thì bị lem bẩn mốc.;1;1
Tay quá ngắn.; 1;2
Áo quá mỏng.;1;2
lừa đảo.; 1;1																								
Chất mát ;4;5
vải đẹp dùng cũng ok		;4						;4		
Nói chung là nên mua nha"	;4					;4															
Áo chất mịn không dễ xù. ;4						;5				
Áo đẹp phù hợp với giá tiền				;4		;4					
Nên mua nha ;4									;4											
chất mỏng dễ nhăn;4								;3		
